FID,OBJECTID,SHAPE,WC_ID,BEZIRK,STRASSE,ORTSANGABE,AKTIV,AKTIV_TXT,OEFFNUNGSZEIT,EINSCHRAENKUNGEN,PERSONALBETREUUNG,KATEGORIE,AUSSTATTUNG,ICON,ICON_TXT,KONTAKT,ABTEILUNG,INFORMATION,SE_ANNO_CAD_DATA
WCANLAGE2OGD.616642,616642,POINT (16.411295574095636 48.248666845625955),M45_MWC24,21,An der oberen Alten Donau,Uferpark Mühlschüttel,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616643,616643,POINT (16.416982959540263 48.246344983400526),M45_MWC25,21,An der oberen Alten Donau,ggü. 121A,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616622,616622,POINT (16.34652557376424 48.289343645444404),M45_MWC51,19,Kuchelauer Hafen,,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616644,616644,POINT (16.43242477423266 48.234207618141305),M45_MWC27,22,An der unteren Alten Donau,ggü. 35,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616645,616645,POINT (16.429744430804764 48.238332320114104),M45_MWC26,22,Florian-Berndl-Gasse 2A,Kagraner Uferplatz,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616646,616646,POINT (16.433335522977345 48.23278660183716),M45_BKZ05,22,An der unteren Alten Donau 51,Naturfreunde,-1,JA,Mo-Sa 10:00-19:00 Uhr So 9:00-19 Uhr,Wintersperre,Mo-Sa 10 - 19 Uhr So 9 - 19 Uhr - gratis,,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616647,616647,POINT (16.431106665577875 48.220778912998135),M45_FWC25,22,Dampfschiffhaufen 10,Strombucht,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"nein - 0,50 €",Damen 1; Herren 1; barrierefrei 2,Euro-Key,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616648,616648,POINT (16.436370645499775 48.22644824579913),M45_MWC75,22,An der unteren Alten Donau / Lange Allee,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616649,616649,POINT (16.427350981145402 48.22340727123171),M45_MWC31,22,Schnitterweg / Harrachgasse,,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616650,616650,POINT (16.437225183322766 48.216712680407795),M45_MWC68,22,An der unteren Alten Donau,ggü. 239,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
