FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_b3,5983345,POINT (16.28214046073112 48.16842783362085),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_b4,5983346,POINT (16.4236019097188 48.25906399316269),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_b5,5983347,POINT (16.36536806281144 48.191663163149656),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_b6,5983348,POINT (16.363251225909778 48.18969756023314),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_b7,5983349,POINT (16.363290227130403 48.19642772594412),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_b8,5983350,POINT (16.368913009337035 48.19366923293742),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_b9,5983351,POINT (16.359244662048322 48.17221054144865),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_ba,5983352,POINT (16.361173231880787 48.174594509146864),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_bb,5983353,POINT (16.310974550589293 48.187872833037666),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_bc,5983354,POINT (16.315250843844577 48.19127729428304),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_bd,5983355,POINT (16.302279996608934 48.19242515134204),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_be,5983356,POINT (16.32583127670235 48.18704202447003),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_bf,5983357,POINT (16.333633768743365 48.18647874642637),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_c0,5983358,POINT (16.33764753232522 48.19352544689887),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_c1,5983359,POINT (16.335166464099192 48.187734428210454),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_c2,5983360,POINT (16.332231396097058 48.1902042471329),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_c3,5983361,POINT (16.317860515464663 48.18889519601555),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_c4,5983362,POINT (16.41717878029208 48.18047746990657),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_c5,5983363,POINT (16.378311696471275 48.17928124549254),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_c6,5983364,POINT (16.370403232769632 48.19908048688019),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_c7,5983365,POINT (16.518515160244498 48.20869010024381),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_c8,5983366,POINT (16.51831016495259 48.208867982967504),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_c9,5983367,POINT (16.393489044101823 48.1450015306895),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_ca,5983368,POINT (16.36285527490222 48.184646773157596),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_cb,5983369,POINT (16.407349239894664 48.246755732163656),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_cc,5983370,POINT (16.416750058685565 48.16794259254926),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_cd,5983371,POINT (16.335561666558508 48.202154049273936),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_ce,5983372,POINT (16.280062198249155 48.13942946429782),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_cf,5983373,POINT (16.438438204826138 48.247153528730735),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_d0,5983374,POINT (16.474284639901295 48.238116232977546),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_d1,5983375,POINT (16.43835765864892 48.24752142689637),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_d2,5983376,POINT (16.45590006674004 48.257366705633565),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_d3,5983377,POINT (16.399359727495316 48.261544274463425),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_d4,5983378,POINT (16.449655858153907 48.2379329925956),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_d5,5983379,POINT (16.31836166469633 48.18891932522654),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_d6,5983380,POINT (16.47583584080025 48.15943396064536),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_d7,5983381,POINT (16.335690779736346 48.201906643395425),Trinkbrunnen,4,
